"","user","sentimentA"
"645","danobrien1972",2
"646","DanRicchezza",-2
"647","DaphneRants",1
"648","DarkRhythms",-1
"649","darwinwoodka",1
"650","DASM00S3",-1
"651","Dataclef",2
"652","daveed_da_sick",0
"653","DaveEvans5555",2
"654","DaveToffy",0
"655","davextreme",2
"656","DavidMajak",1
"657","davidthomvs",1
"658","daviniaweasley",-1
"660","davromega",2
"661","DawgsAreInAnI",0
"662","DawnENelson1",1
"663","daymonjones",2
"664","daznis",-1
"666","dbtarv",-1
"667","ddaddyfatstax",1
"668","ddrag3dawson",2
"669","deadlydilemmas",0
"670","DeadOnIine",4
"671","Deadpolitics1",-2
"672","DeadYounger",-1
"673","DeanKuhner",1
"675","deathcurenouis",0
"676","DeaVult",-2
"677","debrairl",0
"678","DebraLyn22",1
"680","dedmanschest",1
"681","Deepsleeper8",2
"682","DeetyB",1
"683","DefiantlyFree",1
"684","deirdreishere",2
"685","DeLaHansome",0
"686","DelbertJPerkins",1
"687","Delboy1983Derek",0
"688","delmoi",1
"690","DeMarcoDraws",0
"691","dentonppm",0
"692","Deplorable_Harv",-2
"694","DerekNotAway",1
"695","Derpnutz",0
"696","DerrickBagg",-1
"697","DeSpicer",0
"698","developerbmw",-1
"699","DevGrrrl",-1
"700","Devil14197113",-1
"701","dexter111344",1
"702","DexterMcBride",1
"703","DforDavid88",1
"704","dibassetto",1
"705","DiceKpls",2
"706","DickInman",1
"707","didiaryaa",1
"708","die_mutti",1
"709","diesel61187",1
"710","DietGlassWater",1
"712","dimbiddy",0
"714","Dinksterboys21",-1
"715","dirt4cheap",0
"716","DirtyDaver",0
"717","DirtyWaterFan",2
"718","Disinformation1",0
"720","divinelioness",1
"722","DJ_Llewellyn",1
"723","DJNarsiph",0
"724","DKingAlfa",1
"725","dkmcneal",1
"726","DKuzLA",0
"727","DLPBurke",0
"728","dlynnchan",1
"729","dmblanning",2
"730","dobarbudi",1
"731","dockofthebay4",0
"732","DoctorMju",1
"733","DoctorNora",4
"735","dodgethetraffic",1
"736","DoftWT",-2
"737","doldrumcorps",2
"738","don2deliver",1
"739","DondeGroovily",0
"740","donellacandra",2
"741","DonovanLark",3
"742","dontbeasheep1",-1
"743","DontFollow76388",1
"744","doonuttin",-1
"745","DottieMermaid",0
"746","DoubleNintendre",-2
"747","downeastsaint",0
"748","Dpdreamer",0
"749","DrakeThicc",-1
"750","DreaddedDrummer",0
"751","DreadShamus",0
"752","drewinhawaii",0
"753","drhrothgar",1
"754","Drifter237",0
"756","drmagoo",0
"757","DroidCommission",1
"758","drones_for_sale",2
"759","Dropbearpepe",1
"760","Droppinbodies05",0
"761","DrPardi",2
"762","DrRyanSkelton",0
"764","DrugDealerx",2
"765","druid1111",-1
"766","DrunkSheriff",-2
"768","Dubby_000",-1
"769","Dubgulp",-2
"770","ducttapedesign",2
"771","dunder69",-1
"772","duts22",-1
"773","dvan1313",-1
"774","dvlce13",-2
"775","DVNT_Pinkie",3
"776","dyfededwards",-1
"777","DynamiteRick",-1
"778","e30ben",0
"779","earlylawn",-1
"780","earthquakedgirl",2
"781","EasternIdiom",0
"782","ebekiel",1
"783","ebonyinthecity",1
"784","Ech0lex",-2
"785","EchelonRight",-1
"786","edelruth",3
"788","EdenFlair",-2
"789","EdGameTec",0
"790","EducatedSavage",2
"791","eeyand",-1
"793","efcnate",0
"794","eggdehaan",0
"795","eggsucker44",0
"796","EileenCumming20",1
